
0.321,0.315,0.313,0.316,0.315,0.316,0.319,0.319,0.320,0.317,0.317,0.320,0.317,0.325,0.316,0.318,0.320,0.319,0.319,0.323,0.331,0.325,0.324,0.319,0.321,0.320,0.313,0.316,0.317,0.321
0.310,0.315,0.321,0.314,0.317,0.320,0.314,0.315,0.310,0.312,0.315,0.330,0.330,0.316,0.314,0.317,0.317,0.311,0.318,0.320,0.314,0.315,0.314,0.316,0.316,0.316,0.313,0.310,0.311,0.318
0.315,0.311,0.316,0.310,0.309,0.310,0.310,0.306,0.310,0.304,0.310,0.308,0.309,0.321,0.306,0.311,0.310,0.309,0.306,0.307,0.309,0.307,0.307,0.308,0.327,0.308,0.311,0.308,0.309,0.309
0.308,0.302,0.305,0.307,0.308,0.305,0.307,0.315,0.307,0.305,0.304,0.303,0.302,0.306,0.306,0.305,0.305,0.307,0.309,0.304,0.308,0.306,0.309,0.305,0.311,0.313,0.305,0.302,0.304,0.305
0.303,0.304,0.302,0.301,0.310,0.307,0.303,0.305,0.303,0.304,0.313,0.303,0.305,0.302,0.303,0.304,0.306,0.306,0.304,0.303,0.312,0.301,0.304,0.302,0.312,0.304,0.301,0.302,0.305,0.302
0.309,0.304,0.306,0.302,0.301,0.307,0.302,0.305,0.304,0.301,0.307,0.306,0.302,0.303,0.303,0.304,0.304,0.301,0.304,0.306,0.303,0.312,0.305,0.304,0.301,0.303,0.304,0.304,0.302,0.303
0.300,0.301,0.297,0.301,0.297,0.299,0.303,0.303,0.301,0.299,0.299,0.300,0.300,0.296,0.298,0.299,0.299,0.303,0.301,0.308,0.299,0.305,0.305,0.303,0.305,0.308,0.305,0.311,0.304,0.304
0.527,0.525,0.524,0.520,0.515,0.520,0.516,0.517,0.517,0.521,0.522,0.515,0.517,0.517,0.515,0.512,0.518,0.516,0.517,0.516,0.524,0.520,0.520,0.520,0.519,0.520,0.520,0.518,0.513,0.515
0.491,0.450,0.449,0.449,0.449,0.447,0.453,0.448,0.447,0.447,0.448,0.457,0.451,0.448,0.448,0.449,0.447,0.448,0.449,0.448,0.451,0.450,0.455,0.450,0.452,0.452,0.451,0.452,0.453,0.449
0.363,0.370,0.370,0.375,0.383,0.365,0.372,0.368,0.370,0.365,0.362,0.363,0.371,0.364,0.363,0.366,0.384,0.367,0.368,0.368,0.366,0.386,0.364,0.367,0.366,0.367,0.367,0.367,0.390,0.364
0.218,0.172,0.170,0.173,0.175,0.173,0.170,0.172,0.171,0.172,0.171,0.169,0.178,0.172,0.173,0.181,0.172,0.172,0.174,0.179,0.172,0.175,0.174,0.172,0.173,0.171,0.173,0.171,0.176,0.174
0.168,0.169,0.169,0.167,0.169,0.168,0.167,0.169,0.169,0.170,0.165,0.169,0.170,0.169,0.168,0.167,0.170,0.182,0.169,0.171,0.169,0.173,0.170,0.167,0.172,0.169,0.175,0.167,0.173,0.167
0.165,0.164,0.168,0.169,0.163,0.173,0.164,0.169,0.167,0.166,0.172,0.179,0.165,0.172,0.166,0.170,0.168,0.165,0.164,0.172,0.165,0.166,0.165,0.166,0.167,0.167,0.167,0.168,0.165,0.165
0.161,0.165,0.166,0.159,0.167,0.164,0.168,0.162,0.162,0.162,0.160,0.164,0.162,0.158,0.164,0.163,0.161,0.163,0.162,0.161,0.163,0.162,0.164,0.163,0.159,0.170,0.171,0.169,0.162,0.160
0.165,0.161,0.161,0.168,0.159,0.159,0.158,0.160,0.160,0.168,0.160,0.158,0.158,0.160,0.163,0.160,0.160,0.158,0.163,0.159,0.160,0.165,0.161,0.159,0.159,0.159,0.158,0.159,0.163,0.161
0.159,0.159,0.158,0.161,0.163,0.160,0.159,0.158,0.166,0.159,0.160,0.157,0.157,0.169,0.159,0.158,0.156,0.158,0.158,0.159,0.159,0.159,0.157,0.161,0.163,0.158,0.166,0.165,0.159,0.161
0.157,0.153,0.153,0.156,0.155,0.154,0.156,0.158,0.156,0.155,0.155,0.157,0.161,0.155,0.155,0.165,0.155,0.157,0.155,0.155,0.154,0.155,0.155,0.155,0.156,0.157,0.155,0.154,0.170,0.156
0.251,0.250,0.251,0.247,0.249,0.249,0.248,0.258,0.250,0.248,0.247,0.262,0.251,0.248,0.247,0.260,0.244,0.246,0.248,0.245,0.247,0.247,0.248,0.247,0.248,0.247,0.245,0.247,0.247,0.246
1.088,1.068,1.007,1.003,1.007,1.006,1.012,1.020,1.003,0.998,1.008,1.013,1.003,1.001,1.017,0.999,1.011,0.999,1.000,1.027,1.033,1.041,1.035,1.034,1.015,0.997,1.017,1.011,1.018,1.022
1:25.69,54:08.04,16:10.36,3:20.02,10:04.31,1:48.68,3:50.69,2:53.53,11:10.65,21:47.65,18:15.70,8:08.03,19:56.76,13:12.55,23:03.19,27:08.97,26:54.44,36:46.54,27:13.77,27:07.97,54:00.32,43:33.50,37:58.88,40:37.50,54:02.29,54:07.06,40:33.27,27:09.04,44:11.47,38:07.21

