fib25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.649,13.331,13.297,13.406,13.444,13.434,13.474,13.648,13.518,13.349,13.263,13.417,13.483,13.605,13.424,13.266,13.272,13.373,13.358,13.359,13.478,13.361,13.315,13.34,13.296,13.292,13.387,13.399,13.491,13.313
13.293,13.309,13.347,13.376,13.371,13.325,13.339,13.251,13.232,13.265,13.423,13.24,13.226,13.212,13.313,13.299,13.327,13.351,13.246,13.228,13.274,13.283,13.324,13.395,13.356,13.273,13.199,13.293,13.265,13.276
13.379,13.28,13.227,13.265,13.319,13.273,13.333,13.433,13.289,13.236,13.258,13.352,13.255,13.413,13.367,54.967,13.592,13.435,13.277,13.247,13.355,13.242,13.321,13.25,13.301,13.417,13.273,13.209,13.331,13.413
13.294,13.249,13.456,13.354,13.251,13.308,13.312,13.265,13.326,13.419,13.205,13.232,13.283,13.333,13.229,13.36,13.328,13.268,13.307,13.358,13.275,13.354,13.412,13.277,13.286,13.261,13.297,13.219,13.377,13.344
3.759,3.648,3.559,3.556,3.539,3.569,3.544,3.545,3.546,3.572,3.534,3.579,3.554,3.56,3.631,3.584,3.577,3.579,3.572,3.75,3.591,3.562,3.567,3.534,3.536,3.534,3.543,3.526,3.557,3.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.619,8.855,8.612,8.514,8.479,8.7,8.695,8.743,8.532,8.517,8.595,8.568,8.595,8.482,8.532,8.627,8.693,8.602,8.497,8.673,8.677,8.496,8.694,8.645,8.574,8.515,8.569,8.653,8.691,8.655
8.624,8.54,8.569,8.635,8.532,8.509,8.579,8.581,8.606,8.641,8.514,8.525,8.495,8.568,8.568,8.504,8.725,8.69,8.699,8.712,8.563,8.645,8.633,8.536,8.618,8.52,8.574,8.557,8.61,8.605
8.527,8.463,8.506,8.494,8.515,8.558,8.55,8.592,8.642,8.606,8.676,8.561,8.519,8.506,8.509,8.625,8.566,8.549,8.557,8.627,8.689,8.567,8.521,8.54,8.485,8.569,8.561,8.584,8.575,8.667
8.76,8.686,8.668,8.483,8.504,8.477,8.535,8.576,8.534,8.555,8.576,8.556,8.46,8.496,8.555,8.584,8.706,8.543,8.557,8.538,8.575,8.615,8.599,8.526,8.64,8.519,8.574,8.522,8.587,8.694
0.214,0.269,0.247,0.269,0.264,0.273,0.268,0.266,0.236,0.235,0.237,0.264,0.232,0.238,0.264,0.234,0.262,0.263,0.265,0.264,0.263,0.264,0.265,0.263,0.268,0.262,0.264,0.262,0.265,0.271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121,0.095,0.094,0.095,0.094,0.094,0.097,0.095,0.096,0.095,0.094,0.094,0.095,0.094,0.095,0.093,0.093,0.094,0.094,0.094,0.098,0.095,0.094,0.094,0.094,0.094,0.094,0.094,0.096,0.095
