
8queens
1.654,1.616,1.666,1.592,1.595,1.593,1.698,1.645,1.608,1.686,1.686,1.604,1.609,1.606,1.658,1.626,1.596,1.632,1.621,1.873,1.653,1.624,1.600,1.594,1.603,1.600,1.642,1.601,1.664,1.600
1.776,1.870,1.978,1.819,1.771,1.845,1.977,1.814,1.795,1.798,1.788,1.800,1.800,1.902,1.909,1.958,1.850,1.828,1.811,1.824,1.790,1.988,2.021,1.915,1.791,1.847,1.791,1.871,1.995,1.898
2.617,2.626,2.623,2.631,2.638,2.617,2.607,2.608,2.601,2.614,2.631,2.702,2.707,2.651,2.609,2.620,2.622,2.602,2.605,2.609,2.629,2.608,2.617,2.703,2.668,2.646,2.618,2.614,2.625,2.623
5.127,5.106,5.127,5.113,5.137,5.156,5.147,5.181,5.164,5.157,5.112,5.153,5.140,5.170,5.183,5.182,5.223,5.139,5.122,5.126,5.132,5.134,5.130,5.198,5.136,5.157,5.120,5.159,5.156,5.157

10.626,10.559,10.579,10.559,10.614,10.575,10.510,10.600,10.605,10.498,10.602,10.581,10.526,10.526,10.550,10.566,10.529,10.490,10.480,10.539,10.535,10.550,10.650,10.591,10.465,10.531,10.545,10.556,10.606,10.588

3.648,3.559,3.582,3.674,3.778,3.615,3.541,3.571,3.730,3.599,4.134,3.765,4.052,3.447,3.491,3.751,4.072,3.449,3.539,3.534,3.779,3.560,3.711,3.669,3.444,3.623,3.590,3.409,3.545,3.413
4.145,4.078,4.028,4.022,4.047,4.086,4.044,4.176,4.114,4.122,4.123,4.410,4.382,4.106,4.059,4.109,4.069,4.061,4.178,4.140,4.106,4.031,3.876,3.929,3.984,3.919,4.023,4.035,3.988,3.855
5.586,5.571,5.975,5.592,5.797,5.558,5.551,5.555,5.575,5.600,5.604,5.559,5.568,5.585,5.639,5.607,5.564,5.601,5.612,5.556,5.565,5.540,5.555,5.554,5.588,5.545,5.576,5.532,5.780,5.569
11.029,11.073,10.950,10.932,10.989,10.940,10.993,11.006,10.985,10.923,10.936,10.987,11.003,10.964,11.036,11.023,10.950,10.972,11.000,11.060,10.981,10.993,11.036,10.986,10.955,10.976,11.003,10.950,11.049,11.080
6.217,6.125,6.042,6.025,6.023,6.134,6.083,6.060,6.405,6.034,6.029,6.055,6.150,6.156,6.095,6.013,6.008,6.020,6.101,6.127,6.082,6.074,6.088,6.202,6.197,6.094,6.184,6.030,6.035,6.058

0.246,0.129,0.129,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.127,0.128,0.128,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.129,0.127,0.127,0.127,0.127,0.129,0.128
